식품세분류코드,식품세분류명
00,해당없음
01,생것
02,말린것
03,쪄서 말린것
04,삶아서 말린것
05,반정도 말린것
06,분말화한것
08,얼린것
09,동결건조
11,소금에 절여 말린것
12,조미하여 말린것
13,소금에 절여 반정도 말린것
14,조미
15,조미하여 반정도 말린것
16,훈제
17,조미훈제
18,당류에 절인것
19,소금에 절인것
20,식초에 절인것
21,소금에 절여 저장한것
23,농축
24,추출
26,용액
28,통조림
29,기름담금 통조림
30,조미통조림
31,훈제통조림
33,레토르트
34,말린것(자연건조)
35,얼려서 말린것
36,데쳐서 말린것
37,말린것(포)
39,얼려서 말린것(포)
40,약하게 소금에 절인것
42,조미하여 말린것(포)
43,페이스트
46,삶은것
47,데친것
48,끓인것
49,찐것
50,구운것
51,구운것(팬)
52,구운것(석쇠)
53,구운것(오븐)
54,튀긴것
55,튀긴것(튀김옷, 수분많은 반죽)
56,튀긴것(밀가루옷)
58,볶은것
60,조린것
62,장류를 넣고 가열하여 조린것
64,전자레인지로 가열한것
68,우무(우뭇가사리를 끓여 굳힌것)
69,한천(우무를 말린것)
71,젓갈
72,젓갈(속젓갈)
73,젓갈(창난젓)
74,젓갈(명란젓)
77,젓갈(액젓)
78,식해(수산물에 약간의 소금과 밥을 섞어 숙성한것)
83,말린것을 삶은것
84,말린것을 데친것
85,삶아서 말린것을 삶은것
86,삶아서 말린것을 데친것
87,가루를 볶은것
88,얼린것을 삶은것
89,말린것에 당류를 가한것
90,삶은것에 소금을 가한것
91,말린것을 불린것
92,반정도 말린것을 구운것
93,말린것을 볶은것
96,조미한것을 구운것
97,조미하여 구운것
99,조리예에 따라 조리한것
